"directoryname","BaseName","length"
,"DiamondSaber",
,"lboening.github.io",
,"Scripts",
,"swagger-ui",
,"UsePowershell",
"C:\code","Access2007VBAProgrammersReferenceChapter14ExtendingVBAwith","939796"
"C:\code","CreateWindowsTile","6552"
"C:\code","digital-graphics-labs_micr-encoding","7903"
"C:\code","dir","103488"
"C:\code","disbursing_station","86675"
"C:\code","fpddir","885388"
"C:\code","FRFS_ FedACH_Participant_Directory_download_file_format","35153"
"C:\code","Get-JsonFromWebUrl","5948"
"C:\code","Get-JsonFromWebUrl","5948"
"C:\code","ImportExportStructureofDatabase","14064"
"C:\code","itextsharp-dll-core","22"
"C:\code","itextsharp","4005888"
"C:\code","iTextSharp","3150654"
"C:\code","listfiles","5424"
"C:\code","MainDatabase","651264"
"C:\code","myatom","135"
"C:\code","myout","2016"
"C:\code","myvalue","158"
"C:\code","SF424","271337"
"C:\code","Win32API_PtrSafe","692226"
